id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result,home_elo_at_bet,away_elo_at_bet,elo_prob_home,implied_prob,bet_edge,min_roi_required,bet_decision_reason,player_form_home,player_form_away,h2h_summary,bet_timestamp
88,182783418,Czech Liga Pro,Karel Bartak,Jan Briska,2025-10-11T20:00:00,Total,Over O 75.5,75.5,1.83,1.4457831325301205,26.575000000000003,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:23,93 games,1491.1659865815775,1425.028743762507,0.5940459201210869,0.5464480874316939,0.14521857923497272,20.0,Aceita: Over em Jogo Parelho com ROI 26.58% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:43.154082
89,182783426,Czech Liga Pro,Richard Krejci,Jaroslav Bresky,2025-10-11T21:00:00,Total,Over O 75.5,75.5,1.83,1.3793103448275863,32.675,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:23,91 games,1478.4362382842962,1486.3668564084467,0.4885889048653665,0.5464480874316939,0.17855191256830605,20.0,Aceita: Over em Jogo Parelho com ROI 32.67% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:45.207386
90,182783429,Czech Liga Pro,Vladimir Postelt,Jiri Plachy,2025-10-11T21:30:00,Total,Under U 77.5,77.5,1.83,1.5637860082304527,17.023684210526312,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:04:24,87 games,1468.819889744216,1535.3035459200341,0.40547327853704995,0.5464480874316939,0.09302559677883238,15.0,Aceita: Under em Jogo Parelho com ROI 17.02% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:46.186547
91,182783433,Czech Liga Pro,Petr Sebera,Patrik Pycha,2025-10-11T22:30:00,Total,Under U 77.5,77.5,1.83,1.5813953488372094,15.72058823529412,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:24,46 games,1547.0106705907563,1550.4366864520969,0.49506972664343146,0.5464480874316939,0.08590485374477663,15.0,Aceita: Under em Jogo Parelho com ROI 15.72% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:47.287783
92,182783437,Czech Liga Pro,Jiri Plachy,Jaroslav Bresky,2025-10-11T22:30:00,Total,Over O 78.5,78.5,1.83,1.4615384615384615,25.210526315789483,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:24,94 games,1535.3035459200341,1486.3668564084467,0.5699634986617813,0.5464480874316939,0.13776243888409556,20.0,Aceita: Over em Jogo Parelho com ROI 25.21% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:47.696052
93,182843274,Czech Liga Pro,Tomas Turek,Oleksandr Kolisnyk,2025-10-12T02:00:00,Total,Over O 77.5,77.5,1.83,1.4137214137214138,29.445588235294107,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:32,92 games,1542.239248228527,1584.500201018823,0.43947978191577186,0.5464480874316939,0.1609048537447766,20.0,Aceita: Over em Jogo Parelho com ROI 29.45% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:47.956049
94,182843369,Czech Liga Pro,Michal Kaspar,Jan Hrabec,2025-10-12T02:00:00,Total,Under U 78.5,78.5,1.83,1.5584415584415585,17.42499999999999,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:32,71 games,1500.5544804807846,1553.2010000733635,0.4248101668467095,0.5464480874316939,0.09521857923497268,15.0,Aceita: Under em Jogo Parelho com ROI 17.42% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:49.289802
95,182843370,Czech Liga Pro,Lukas Jindrak,Vratislav Petracek,2025-10-12T02:30:00,Total,Under U 77.5,77.5,1.83,1.553133514986376,17.82631578947369,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:33,46 games,1544.267542514864,1491.7232485852514,0.5750460390953458,0.5464480874316939,0.09741156169111309,15.0,Aceita: Under em Jogo Parelho com ROI 17.83% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:49.546738
96,182843373,Czech Liga Pro,Josef Obeslo Jnr,Jan Kanera,2025-10-12T02:30:00,Total,Under U 78.5,78.5,1.83,1.5,21.999999999999996,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:34,64 games,1467.2603625059971,1511.67145652143,0.4364331349673035,0.5464480874316939,0.1202185792349727,15.0,Aceita: Under em Jogo Parelho com ROI 22.00% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:50.204982
97,182843386,Czech Liga Pro,Julius Didi,Josef Pantak,2025-10-12T04:00:00,Total,Under U 75.5,75.5,1.83,1.554192229038855,17.746052631578944,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:04:40,88 games,1418.8847769955316,1464.1159706150506,0.4352723431139459,0.5464480874316939,0.09697296519988496,15.0,Aceita: Under em Jogo Parelho com ROI 17.75% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:53.231544
98,182843387,Czech Liga Pro,Tomas Andrle,Petr Lastuvka,2025-10-12T04:00:00,Total,Under U 76.5,76.5,1.83,1.5370786516853931,19.057017543859665,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:40,75 games,1573.3872863677034,1592.7515832710353,0.4721613564868711,0.5464480874316939,0.10413670788994356,15.0,Aceita: Under em Jogo Parelho com ROI 19.06% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:53.503572
99,182843390,Czech Liga Pro,Oleksandr Kolisnyk,Vratislav Petracek,2025-10-12T04:30:00,Total,Over O 76.5,76.5,1.83,1.4323725055432373,27.760061919504643,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:43,79 games,1584.500201018823,1491.7232485852514,0.6304311906880797,0.5464480874316939,0.15169432742898714,20.0,Aceita: Over em Jogo Parelho com ROI 27.76% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:53.982376
100,182843393,Czech Liga Pro,Michal Zahradka,Jan Kanera,2025-10-12T04:30:00,Total,Under U 76.5,76.5,1.83,1.2307692307692308,48.68750000000001,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:43,65 games,1472.2386729695074,1511.67145652143,0.4434940815609312,0.5464480874316939,0.26605191256830607,15.0,Aceita: Under em Jogo Parelho com ROI 48.69% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:54.964731
101,182843395,Czech Liga Pro,Oleksandr Kolisnyk,Tomas Turek,2025-10-12T06:00:00,Total,Over O 77.5,77.5,1.83,1.4137214137214138,29.445588235294107,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:47,97 games,1584.500201018823,1542.239248228527,0.560520218084228,0.5464480874316939,0.1609048537447766,20.0,Aceita: Over em Jogo Parelho com ROI 29.45% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:55.258782
102,182843396,Czech Liga Pro,Jiri Grohsgott,Jaromir Cernik,2025-10-12T06:00:00,Total,Under U 75.5,75.5,1.83,1.4285714285714286,28.09999999999999,,,2025-10-13 03:03:42,2025-10-13 03:03:42,,1470.4817127795563,1544.669641354595,0.3948285835064674,0.5464480874316939,0.15355191256830603,15.0,Aceita: Under em Jogo Parelho com ROI 28.10% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:55.851090
103,182843403,Czech Liga Pro,Radek Golis,Jiri Havel,2025-10-12T06:30:00,Total,Under U 76.5,76.5,1.83,1.2966101694915255,41.13725490196077,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:04:49,86 games,1477.5036804639253,1550.025661280174,0.39712229601730864,0.5464480874316939,0.22479374263366547,15.0,Aceita: Under em Jogo Parelho com ROI 41.14% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:57.242107
104,182843408,Czech Liga Pro,Jaroslav Strnad 1964,Radek Golis,2025-10-12T07:00:00,Total,Under U 77.5,77.5,1.83,1.565217391304348,16.916666666666657,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:50,72 games,1540.3094436947474,1477.5036804639253,0.5894129400151993,0.5464480874316939,0.09244080145719491,15.0,Aceita: Under em Jogo Parelho com ROI 16.92% >= 15%,N/A,N/A,N/A,2025-10-12T23:02:58.100823
105,182843410,Czech Liga Pro,Erik Mares,Oleksandr Kolisnyk,2025-10-12T07:30:00,Total,Over O 77.5,77.5,1.83,1.4166666666666667,29.176470588235293,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:52,84 games,1581.895587248869,1584.500201018823,0.4962517296928031,0.5464480874316939,0.15943426550948248,20.0,Aceita: Over em Jogo Parelho com ROI 29.18% >= 20%,N/A,N/A,N/A,2025-10-12T23:02:58.296400
106,182843430,Czech Liga Pro,Petr Sebera,Patrik Pycha,2025-10-12T10:00:00,Total,Under U 77.5,77.5,1.83,1.5813953488372094,15.72058823529412,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:04:58,55 games,1547.0106705907563,1550.4366864520969,0.49506972664343146,0.5464480874316939,0.08590485374477663,15.0,Aceita: Under em Jogo Parelho com ROI 15.72% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:01.789351
107,182843444,Czech Liga Pro,Jaromir Cernik,Matej Pycha,2025-10-12T11:30:00,Total,Under U 75.5,75.5,1.83,1.518987341772152,20.474999999999998,,,2025-10-13 03:03:42,2025-10-13 03:03:42,,1544.669641354595,1458.8867638549052,0.6210026031991506,0.5464480874316939,0.1118852459016394,15.0,Aceita: Under em Jogo Parelho com ROI 20.47% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:04.555429
108,182843451,Czech Liga Pro,Petr Sebera,Simon Kadavy,2025-10-12T12:00:00,Total,Under U 77.5,77.5,1.83,1.5813953488372094,15.72058823529412,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:04,94 games,1547.0106705907563,1449.328921262004,0.6369848607885569,0.5464480874316939,0.08590485374477663,15.0,Aceita: Under em Jogo Parelho com ROI 15.72% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:05.877223
109,182843471,Czech Liga Pro,Vladimir Postelt,Radim Pavelka,2025-10-12T15:00:00,Total,Under U 78.5,78.5,1.83,1.5384615384615383,18.95000000000001,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:10,81 games,1468.819889744216,1502.5940153491513,0.4515476507173882,0.5464480874316939,0.10355191256830609,15.0,Aceita: Under em Jogo Parelho com ROI 18.95% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:09.529159
110,182843474,Czech Liga Pro,Michal Hrabec,Matyas Navedla,2025-10-12T15:00:00,Total,Under U 76.5,76.5,1.83,1.5789473684210527,15.900000000000002,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:11,89 games,1499.1324010514481,1453.6725968534618,0.5650511127999017,0.5464480874316939,0.08688524590163937,15.0,Aceita: Under em Jogo Parelho com ROI 15.90% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:09.810468
111,182843488,Czech Liga Pro,Michal Kratochvil,Matyas Navedla,2025-10-12T16:00:00,Total,Under U 75.5,75.5,1.83,1.5789473684210527,15.900000000000002,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:12,72 games,1513.8926409665462,1453.6725968534618,0.5858060548461633,0.5464480874316939,0.08688524590163937,15.0,Aceita: Under em Jogo Parelho com ROI 15.90% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:11.807325
112,182843489,Czech Liga Pro,Tibor Kolenic,Frantisek Briza,2025-10-12T16:30:00,Total,Under U 75.5,75.5,1.83,1.5384615384615383,18.95000000000001,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:14,98 games,1511.9411994938362,1502.0747839448666,0.5141950977425739,0.5464480874316939,0.10355191256830609,15.0,Aceita: Under em Jogo Parelho com ROI 18.95% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:12.097428
113,182843491,Czech Liga Pro,Vladimir Postelt,Jiri Plachy,2025-10-12T16:30:00,Total,Under U 77.5,77.5,1.83,1.5637860082304527,17.023684210526312,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:15,99 games,1468.819889744216,1535.3035459200341,0.40547327853704995,0.5464480874316939,0.09302559677883238,15.0,Aceita: Under em Jogo Parelho com ROI 17.02% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:12.558633
114,182843492,Czech Liga Pro,Pavel Berdych,Tomas Regner,2025-10-12T16:30:00,Total,Under U 78.5,78.5,1.83,1.3333333333333333,37.25000000000001,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:15,57 games,1534.5273171405993,1431.8491816597764,0.6436089780320696,0.5464480874316939,0.20355191256830607,25.0,Aceita: Under em Jogo Desequilibrado com ROI 37.25% >= 25%,N/A,N/A,N/A,2025-10-12T23:03:12.853168
115,182843494,Czech Liga Pro,Dan Volhejn,Martin Huk,2025-10-12T18:00:00,Total,Under U 78.5,78.5,1.83,1.5405405405405406,18.789473684210535,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:18,55 games,1491.67242941976,1503.259010092043,0.4833317487615306,0.5464480874316939,0.10267471958584995,15.0,Aceita: Under em Jogo Parelho com ROI 18.79% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:13.391581
