league_name,home_team,away_team,selection,odds,result
Setka Cup,Oleksandr Gomilko,Dmytro Derevynskyi,Under U 77.5,1.83,0.0
Setka Cup,Andriy Chermenskyi,Spartak Abalmaz,Under U 77.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Roman Bihun,Under U 76.5,1.83,1.0
Setka Cup,Serhii Aristarkhov,Artem Kasyanov,Under U 75.5,1.83,1.0
Setka Cup,Yurii Bondarenko,Evhenii Hrytsenko,Under U 76.5,1.83,1.0
Setka Cup,Ilia Ostryi,Denys Maltsev,Under U 77.5,1.83,1.0
Setka Cup,Pavlo Lavrynenko,Roman Pomin,Over O 77.5,1.83,1.0
Setka Cup,Yaroslav Kovshun,Oleksandr Cherkas,Over O 78.5,1.83,1.0
Setka Cup,Jakub Makara,Josef Chalupa,Under U 77.5,1.83,1.0
Setka Cup,Miroslav Hajek,Pavel Sourek,Under U 75.5,1.83,1.0
Setka Cup,Valerii Merzlikin,Yevhen Skorobahatyi,Over O 75.5,1.83,1.0
Setka Cup,Andrii Obishchenko,Oleksandr Tymofeev,Under U 77.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Denys Maltsev,Under U 71.5,1.83,1.0
Setka Cup,Serhii Ponomarenko,Roman Horokh,Under U 67.5,1.83,1.0
Setka Cup,Tomas Hucko,Pavel Hala,Over O 76.5,1.83,1.0
Setka Cup,Serhii Aristarkhov,Ivan Fedoryshyn,Under U 74.5,1.83,1.0
Setka Cup,Yurii Bondarenko,Roman Pomin,Over O 76.5,1.83,1.0
Setka Cup,Oleh Volynets,Andrii Melchenko,Under U 75.5,1.83,1.0
Setka Cup,Ruslan Andrishak,Roman Bihun,Under U 75.5,1.83,1.0
Setka Cup,Yaroslav Kovshun,Oleksandr Tymofeev,Under U 76.5,1.83,1.0
Setka Cup,Tomas Hucko,Pavel Sourek,Under U 77.5,1.83,1.0
Setka Cup,Dmytro Prylepa,Maksym Hubenko,Over O 74.5,1.83,0.0
Setka Cup,Pavlo Lavrynenko,Valerii Merzlikin,Over O 77.5,1.83,0.0
Setka Cup,Serhii Ponomarenko,Illia Hubariev,Under U 74.5,1.83,1.0
Setka Cup,Eduard Populovskyi,Sergii Skhabitskiy,Over O 75.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Ruslan Andrishak,Under U 76.5,1.83,1.0
Setka Cup,Miroslav Hajek,Tomas Hucko,Under U 78.5,1.83,1.0
Setka Cup,Yurii Bondarenko,Yevhen Skorobahatyi,Over O 75.5,1.83,1.0
