id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
90,180257844,Czech Liga Pro,David Tomasch,Jiri Havel,2025-08-27 02:00:00,To Win,Away,,2.25,1.4285714285714286,57.49999999999999,1.0,1.25,2025-08-26 21:14:38,2025-08-27 12:56:03,Jiri Havel
94,180257849,Czech Liga Pro,Jiri Buryan,Tomas Kucera,2025-08-27 02:30:00,Total,Under U 75.5,75.5,1.83,1.1111111111111112,64.70000000000002,1.0,0.8300000000000001,2025-08-26 21:14:39,2025-08-27 12:56:03,59
97,180257854,Czech Liga Pro,Jiri Havel,Jiri Buryan,2025-08-27 03:00:00,To Win,Home,,2.25,1.4285714285714286,57.49999999999999,0.0,-1.0,2025-08-26 21:14:39,2025-08-27 12:56:03,Jiri Buryan
99,180257856,Czech Liga Pro,Ladislav Havel 1956,Jaroslav Strnad 1964,2025-08-27 03:00:00,To Win,Away,,3.5,2.0,75.0,0.0,-1.0,2025-08-26 21:14:39,2025-08-27 12:56:03,Ladislav Havel 1956
108,180257876,Czech Liga Pro,Jaroslav Strnad 1961,Miloslav Lubas,2025-08-27 06:00:00,To Win,Home,,4.5,2.5,80.00000000000001,,,2025-08-26 21:14:41,2025-08-26 21:14:41,
109,180257879,Czech Liga Pro,Jakub Levicky,Roman Guliak,2025-08-27 06:00:00,To Win,Home,,2.25,1.3333333333333333,68.75,,,2025-08-26 21:14:41,2025-08-26 21:14:41,
125,180257901,Czech Liga Pro,Jakub Levicky,Marek Blejchar,2025-08-27 08:00:00,To Win,Home,,2.62,1.3333333333333333,96.50000000000001,,,2025-08-26 21:14:43,2025-08-26 21:14:43,
126,180257904,Czech Liga Pro,Miloslav Lubas,Vladimir Kubat,2025-08-27 08:30:00,To Win,Away,,3.0,1.6666666666666667,80.0,,,2025-08-26 21:14:44,2025-08-26 21:14:44,
146,180257941,Czech Liga Pro,Rostyslav Kliuchuk,Robin Pacha,2025-08-27 14:00:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-26 21:14:48,2025-08-26 21:14:48,
147,180257944,Czech Liga Pro,Petr Sudek,Radek Bartunek,2025-08-27 14:00:00,To Win,Home,,1.8,1.4285714285714286,25.99999999999999,,,2025-08-26 21:14:48,2025-08-26 21:14:48,
148,180257945,Czech Liga Pro,Josef Medek,Jan Zajicek,2025-08-27 14:00:00,To Win,Away,,2.62,1.3333333333333333,96.50000000000001,,,2025-08-26 21:14:48,2025-08-26 21:14:48,
149,180257945,Czech Liga Pro,Josef Medek,Jan Zajicek,2025-08-27 14:00:00,Total,Under U 76.5,76.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-26 21:14:48,2025-08-26 21:14:48,
150,180257951,Czech Liga Pro,Petr Macela,Erik Mares,2025-08-27 14:30:00,To Win,Home,,1.36,1.0,36.00000000000001,,,2025-08-26 21:14:48,2025-08-26 21:14:48,
151,180257951,Czech Liga Pro,Petr Macela,Erik Mares,2025-08-27 14:30:00,To Win,Away,,3.0,2.0408163265306127,46.999999999999986,,,2025-08-26 21:14:49,2025-08-26 21:14:49,
152,180257952,Czech Liga Pro,Tadeas Zika,Michal Cabis,2025-08-27 14:30:00,To Win,Away,,1.9,1.4285714285714286,32.999999999999986,,,2025-08-26 21:14:49,2025-08-26 21:14:49,
153,180257953,Czech Liga Pro,Robin Pacha,Oleksandr Kolisnyk,2025-08-27 15:00:00,To Win,Home,,2.0,1.3333333333333333,50.0,,,2025-08-26 21:14:49,2025-08-26 21:14:49,
154,180257957,Czech Liga Pro,Jan Zajicek,Petr Macela,2025-08-27 15:00:00,To Win,Away,,1.72,1.0,72.0,,,2025-08-26 21:14:49,2025-08-26 21:14:49,
