id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
1448,Challenger Series TT,Vincent Senkbeil,Michael Fuchs,2025-09-01 08:30:00,Total,Under U 72.5,72.5,1.83,66.36363636363637,,,,2025-09-01 08:22:28
1449,Challenger Series TT,Marius Henninger,Jaime Lama,2025-09-01 09:00:00,Total,Under U 73.5,73.5,1.83,37.25000000000001,,,,2025-09-01 08:22:28
1450,Challenger Series TT,Viktor Yefimov,Mike Hollo,2025-09-01 10:00:00,To Win,Away,,3.0,20.000000000000007,,,,2025-09-01 08:22:28
1451,Challenger Series TT,Viktor Yefimov,Mike Hollo,2025-09-01 10:00:00,Total,Under U 73.5,73.5,1.83,37.25000000000001,,,,2025-09-01 08:22:28
1452,Challenger Series TT,Vincent Senkbeil,Marius Henninger,2025-09-01 10:30:00,Total,Under U 75.5,75.5,1.83,60.12500000000001,,,,2025-09-01 08:22:28
1453,Challenger Series TT,Michael Fuchs,Mike Hollo,2025-09-01 11:00:00,Total,Under U 69.5,69.5,1.83,58.60000000000001,,,,2025-09-01 08:22:28
1454,Challenger Series TT,Viktor Yefimov,Dauud Cheaib,2025-09-01 11:30:00,Total,Under U 75.5,75.5,1.83,64.70000000000002,,,,2025-09-01 08:22:28
1455,Challenger Series TT,Pylyp Koloidenko,Jaime Lama,2025-09-01 12:00:00,Total,Under U 73.5,73.5,1.83,28.09999999999999,,,,2025-09-01 08:22:28
1456,Challenger Series TT,Michael Fuchs,Marius Henninger,2025-09-01 12:30:00,Total,Under U 70.5,70.5,1.83,58.60000000000001,,,,2025-09-01 08:22:28
1457,Challenger Series TT,Dauud Cheaib,Mike Hollo,2025-09-01 13:00:00,Total,Under U 74.5,74.5,1.83,64.70000000000002,,,,2025-09-01 08:22:28
1458,Challenger Series TT,Viktor Yefimov,Jaime Lama,2025-09-01 13:30:00,Total,Under U 67.5,67.5,1.83,18.95000000000001,,,,2025-09-01 08:22:28
